          J                Params
0  -0.518870                [10.0]
1  -0.333037   [35.93049631761591]
2  -0.291551   [71.83917437131535]
3  -0.294150  [105.72936135592508]
4  -0.859810  [139.64184208853678]
5  -0.302344   [54.03881618089629]
6  -0.291756   [89.24087609085507]
7  -0.979270  [145.46734516682636]
8  -0.295255  [114.67969487353098]
9  -0.315374  [45.052888581734365]
10 -0.291585   [80.52377443887552]
11 -1.438666                 [0.0]
12 -0.366499  [22.825285065919733]
13 -0.294586   [62.99750136052602]
14 -0.292829   [97.43130036625645]
